sp_id;order;family;genus;species;nesting_pref;development_mode;trophic_level;trophic_niche;foraging_behaviour;foraging_strata;body_mass;brain_mass;beak_length;beak_width;beak_depth;tarsus_length;hwi;wing_length;kipps_distance;tail_length;clutch_size;clutch_nb;egg_mass;fledging_age;maturity_age;longevity;max_longevity;habitat;hab_density;prim_lifestyle;urban_tolerance;social_behaviour;migratory;latitude_cent;longitude_cent;range_size;iucn_status;comment
mota_cine;Passeriformes;Motacillidae;Motacilla;cinerea;building_riverbanks;altricial;carnivore;invertivore;gleaning;ground;17,2;0,57;17,4;3,1;3;18,2;34,6;82,8;28,6;94,4;4,98;2;1,91;13;365;3;8;riverine;open;terrestrial;adapter;solitary;0;52,19;88,74;19613139,17;lc;
erit_rube;Passeriformes;Muscicapidae;Erithacus;rubecula;cavity;altricial;carnivore;omnivore;gleaning;ground_and_lower_strata;17,7;0,66;14;2,9;3,3;24,5;19,9;71,6;14,2;56,9;5,17;2;2,45;13,5;364,23;17,2;19,3;forest;dense;generalist;adapter;solitary;0;53,82;30,86;10001378,73;dd;avoider during reproduction
fice_hypo;Passeriformes;Muscicapidae;Ficedula;hypoleuca;cavity;altricial;carnivore;invertivore;gleaning;all_strata;13,8;0,47;12,8;4,1;3,2;17,6;30,4;79,3;24,2;52,1;5,85;1;1,7;15,5;365;10,9;15;forest;dense;insessorial;adapter_avoider;solitary;1;57,07;38,09;7339714,14;vu;sporadic and vulnerable in France
lusc_mega;Passeriformes;Muscicapidae;Luscinia;megarhynchos;shrub_ground;altricial;carnivore;invertivore;gleaning;ground_and_lower_strata;19,6;0,72;16;3,5;3,7;26,4;27,6;84;23,2;68,2;4,78;1;2,65;15;364,23;10,9;10,92;woodland;dense;generalist;adapter;solitary;1;43;34,7;6778462,19;lc;
phoe_ochr;Passeriformes;Muscicapidae;Phoenicurus;ochruros;building;altricial;omnivore;invertivore;gleaning;ground_and_lower_strata;16,5;0,55;15,4;2,8;2,9;22,4;23,1;83,1;19,2;60,4;4,9;2;2,13;14,5;364,23;9,29;10,2;rupestrian;open;insessorial;adapter;small_groups;1;42,46;61,96;13764225,49;lc;
phoe_phoe;Passeriformes;Muscicapidae;Phoenicurus;phoenicurus;cavity;altricial;carnivore;invertivore;gleaning;midhigh_strata;14,6;0,53;13,9;3,3;3,4;21,6;25,8;77,9;20,2;58;6,18;2;1,9;13;364,23;10,2;10,25;woodland;dense;insessorial;adapter;solitary;1;53,91;48,63;14485113,51;lc;
saxi_rube;Passeriformes;Muscicapidae;Saxicola;rubicola;ground;altricial;carnivore;invertivore;scanning;ground;14,1;0,63;15,3;3,5;3,4;21,9;20,8;67,3;14;48,3;5,16;2;1,98;14;365;8,82;8,83;shrubland;open;insessorial;avoider;solitary;0;42,7;78,19;32655980,34;lc;morphometric data from Saxicola torquetus and threatened in various regions
cyan_caer;Passeriformes;Paridae;Cyanistes;caeruleus;cavity;altricial;omnivore;invertivore;gleaning;lower_strata;11,1;0,76;9,7;3,2;4,2;15,2;21;65,6;13,8;51,4;8;1,5;1,14;20;365;13,1;14,6;forest;semi_open;insessorial;adapter;gregarious;0;50,72;26,02;8753389,8;lc;
paru_majo;Passeriformes;Paridae;Parus;major;cavity;altricial;omnivore;invertivore;gleaning;midhigh_strata;16,3;;11,3;4;4,3;17,4;18,7;70,9;13,3;61,2;8,6;1,5;1,68;16,5;365;15,2;15,417;woodland;semi_open;insessorial;adapter;gregarious;0;44,04;75,02;32577984,28;lc;
pass_dome;Passeriformes;Passeridae;Passer;domesticus;cavity;altricial;omnivore;granivore;gleaning;ground_and_lower_strata;26,5;1,005;13,5;6,3;7,4;17,9;27,3;74,9;20,4;57,2;4,35;3,25;2,8;15;182,625;17,71;23;rupestrian;open;terrestrial;exploiter;gregarious;0;46,32;61,68;34407867,59;lc;threatened in various regions
