id_ipa;rayon;area;site_name;neighbourhood;urban_type;urban_type_2;possible_outlier;x;y;species_richness;evenness_class;dom_sp_1;dom_sp_2;dom_sp_3;bcount;bprop;bh;bh_m;bh_iqr;bconti;bfreq;barea_m;barea_iqr;bgaps;bhgaps;rlength;rdens;rortho_m;hprop;hcount;harea_m;harea_iqr;sprop;scount;sarea_m;sarea_iqr;fprop;fcount;farea_m;farea_iqr;wprop;lcz;vmanag;npoll;lflux_0_m;lflux_5_m;lflux_10_m;lflux_20_m;fw_d1b1_euc;fw_d2b1_euc;cfw_d1b1_euc;cfw_d2b1_euc;fw_d1b1;fw_d2b1;cfw_d1b1;cfw_d2b1;fh_d1b1_euc;fh_d2b1_euc;cfh_d1b1_euc;cfh_d2b1_euc;fh_d1b1;fh_d2b1;cfh_d1b1;cfh_d2b1;ff_d1b1_euc;ff_d2b1_euc;cff_d1b1_euc;cff_d2b1_euc;ff_d1b1;ff_d2b1;cff_d1b1
IPA039b;150;70232,51593;chateau_de_pouilly;pouilly;housing_development;centred_resid_housing;0;5,0545;47,3461;41;B;Acer platanoides;Lonicera nitida;;112;0,172873405;0,813769486;4,1;1,1;0,788652494;0,066711725;128,31;63,605;0,344687335;2,360891749;1289,128719;9,97E-05;21,77276371;0,27170154;390;3;17;0,176878495;455;4;15;0,021225293;61;5;11;0;6;intensive;47,11412048;41,37838329;66,07801883;56,54151233;24,65003633;0;0;0;0;0;0;0;0;5692235,839;71001766,06;1,12779E+12;1,09536E+12;15888992,27;302942737,8;1,02948E+12;1,01534E+12;4729820,221;70856182,94;2,28652E+12;2,27591E+12;18944313,83;866123499,1;2,51768E+12
IPA039b;300;280930,0637;chateau_de_pouilly;pouilly;housing_development;centred_resid_housing;0;5,0545;47,3461;41;B;Acer platanoides;Lonicera nitida;;309;0,130574403;0,897239976;4,2;1,575;0,795107236;0,05291153;131,7425;84,98499999;0,503497102;1,782016168;4346,878647;9,97E-05;7,126982124;0,283594734;1120;3;19;0,154591253;1949;3;12;0,060138855;387;4;17,91396641;0;6;intensive;45,70453262;13,88321871;27,11232043;38,14921515;22,52395183;0;0;0;0;0;0;0;0;16706012,85;218490362,1;3,27919E+12;3,18399E+12;47887385,03;927626254,8;2,90495E+12;2,86816E+12;13533481,58;201734303,4;5,98253E+12;5,99988E+12;52798210,63;2461212199;6,39487E+12
IPA039b;450;632092,6433;chateau_de_pouilly;pouilly;housing_development;centred_resid_housing;0;5,0545;47,3461;41;B;Acer platanoides;Lonicera nitida;;545;0,143747918;1,071083559;4,3;3,475;0,792632081;0,038191819;143,0725;202,38625;0,479537561;2,23357594;10525,81444;0,000134474;7,611572931;0,274519757;2105;3;19;0,134499129;4379;3;12;0,07218893;1015;4;19;0;6;intensive;47,80148315;5,007787245;16,96868721;22,37215534;20,6207109;0;0;0;0;0;0;0;0;28649788,97;396301966,2;6,22753E+12;6,04557E+12;83915468,57;1682632925;5,60286E+12;5,53146E+12;29700166,36;455099750,5;1,18195E+13;1,18918E+13;113527688,7;5528302329;1,25545E+13
IPA040;150;70232,51593;nichoir_326_rue_genreau;parc_colombiere;housing_development;front_resid_housing;0;5,0444;47,3037;25;C;;;;230;0,203850308;1,006997795;4,3;2,2;0,703736902;0,139627754;79,08;87,1475;0,210419294;4,785672333;1217,522989;9,97E-05;5,163088744;0,174652213;338;3;16,5;0,17466332;499;3;13;0,043909154;139;3;12,5;0;6;intensive;49,1730957;61,5040483;77,35721424;75,2068311;33,36234613;0;0;0;0;0;0;0;0;2565065,077;57985617,69;9,67697E+11;9,40267E+11;5674694,703;214681875,1;9,23224E+11;9,11207E+11;9628133,006;104334919,5;2,30503E+12;2,18612E+12;47040545,56;934981894,1;2,56283E+12
IPA040;300;280930,0637;nichoir_326_rue_genreau;parc_colombiere;housing_development;front_resid_housing;0;5,0444;47,3037;25;C;;;;647;0,169248792;1,036052339;4,4;2,7;0,647675488;0,128547622;90,62000001;87,1125;0,270262164;3,833508629;3625,115682;7,83E-05;7,804146676;0,157000505;1191;4;20;0,156082607;2429;2;10;0,205510961;512;2;12;0;6;intensive;50,40100098;61,46087798;71,64602363;72,98024058;35,05974711;0;0;0;0;0;0;0;0;10152794,49;224755147,2;3,4628E+12;3,36534E+12;21343375,82;829630349,7;3,17277E+12;3,1336E+12;23225101,69;272049674,7;6,43826E+12;6,1227E+12;115911267,3;2508976350;7,00294E+12
IPA040;450;632092,6433;nichoir_326_rue_genreau;parc_colombiere;housing_development;front_resid_housing;0;5,0444;47,3037;25;C;;;;1067;0,153531385;0,990438107;4,5;2,7;0,693109797;0,093732559;89,295;98,6;0,339765806;2,915061169;8342,88544;8,38E-05;8,119126907;0,170724505;2322;4;20;0,136195244;5542;2;9;0,237622297;1065;3;17;0;6;intensive;52,03188705;13,79154263;30,45134115;51,8746577;35,11731842;0;0;0;0;0;0;0;0;20361743,98;444949806,7;7,33566E+12;7,12302E+12;42632766,11;1655172288;6,39876E+12;6,32037E+12;42712725,24;533050833;1,30533E+13;1,24373E+13;213710493,4;4997879651;1,40654E+13
IPA041a;150;70232,51593;chateau_de_larrey;bourroches;resid_housing_park;mixed_housing;0;5,0136;47,314;24;B;Platanus sp;Acer platanoides;Cedrus sp;88;0,175644443;1,534534218;4,75;2,15;0,67993498;0,040209828;119,5325;92,36999999;0,456071107;3,364681939;1666,259295;0,000227815;8,109967635;0,12619668;263;3;20,5;0,120360061;549;3;12,13598093;0,066946243;106;3;15,75;0;6;intensive;58,05056381;67,68438087;83,61300403;98,38842468;56,32358577;0;0;0;0;0;0;0;0;2077182,36;57292445,51;9,4911E+11;9,2818E+11;4843039,505;259368823,1;9,40275E+11;9,15951E+11;4608498,131;114619818,2;2,24359E+12;2,20489E+12;27850226,49;1689633266;2,2516E+12
IPA041a;300;280930,0637;chateau_de_larrey;bourroches;resid_housing_park;mixed_housing;0;5,0136;47,314;24;B;Platanus sp;Acer platanoides;Cedrus sp;578;0,196623428;1,298070203;4,35;2,2;0,691235598;0,074745334;91,1875;63,0625;0,378711541;3,427596104;6033,821455;0,000192219;8,311302786;0,157230102;1195;4;19,63038073;0,147168906;2040;3;13;0,043618774;428;3;12;6,98E-05;6;intensive;52,90113449;51,61694518;80,59064125;88,21085303;48,87310567;0;0;0;0;0;0;0;0;10461964,06;280322069,9;4,37242E+12;4,27712E+12;24220469,95;1260843025;4,18634E+12;4,08545E+12;20243311,61;497069782,3;9,98833E+12;9,80943E+12;129331532,3;7352351371;1,00595E+13
IPA041a;450;632092,6433;chateau_de_larrey;bourroches;resid_housing_park;mixed_housing;0;5,0136;47,314;24;B;Platanus sp;Acer platanoides;Cedrus sp;1188;0,188066174;1,250504129;4,3;2,4;0,671709556;0,069553102;93,5025;81,40875;0,431800262;2,89602448;13256,05867;0,000170861;7,621188508;0,166236006;2459;4;22;0,140963042;4618;3;13;0,056650645;982;3;14;0,011762477;6;intensive;52,6295433;51,61694518;82,02074593;93,75280473;46,1937927;117414,1959;1123429,067;639849326,8;2060479297;220975,3168;3441361,847;555976101;1483717088;22509000,91;579206094,8;9,42252E+12;9,21359E+12;53383990,85;2602901801;9,0551E+12;8,83055E+12;41674481,01;991331273,1;1,9457E+13;1,91022E+13;267775781,8;14693829486;1,94829E+13
IPA041b;150;70232,51593;chateau_de_larrey;bourroches;mixed_housing;mixed_front_resid_housing;0;5,0165;47,3124;16;B;Prunus laurocerasus;Platanus sp;Thuja sp;147;0,197376515;1,429372496;4,3;3,2;0,72003248;0,09466422;87,68;107,7275;0,207768554;6,87963827;1024,674373;0,000113907;1,935303591;0,164338147;324;3;19,02604707;0,164766737;557;3;13;0,050924993;170;2;8;0;6;intensive;48,94672394;27,1321042;47,5212841;60,26385122;28,93980231;0;0;0;0;0;0;0;0;2321522,498;66403448,01;1,07447E+12;1,05004E+12;5022753,593;295983274,7;1,0386E+12;1,0167E+12;4286431,913;107173126,3;2,19772E+12;2,16043E+12;20506278,73;1558528415;2,22835E+12
