id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA027a;IPA027;square_temeraire;BFr;2019;;;;;;;;;;;1;;2;;;;;;3,5;;;;;0,5;1;;;;;;;1;;;;;;2;1;;;;;;;;;1;;;0,5;;;;
IPA027b;IPA027;square_temeraire;BFr;2019;;;;;;;;;;;1,5;;1,5;1,5;;;;;2,5;;;;;;1;1;;;;;;2;;;;;;2;0,5;;;;;;;;;2,5;;;1,5;0,5;0,5;;
IPA028a;IPA028;square_petites_roches;BFa;2019;06/05/2019;;;;;;;;;;1;1;0,5;2;;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;1;;;;;2;;0,5;1;1;;;
IPA028b;IPA028;square_petites_roches;BFa;2019;06/05/2019;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;1;;;;;;1,5;;;;;1;1;;;;4,5;;0,5;0,5;;;;
IPA029a;IPA029;erasmes_nord;BFa;2019;24/04/2019;;;;;;;;;;1;;0,5;;;;;;1;;;;;;2;;;;;;;2;;;;;;3;1;;;;2;1;;;1;9;;;1;1,5;;;
IPA029b;IPA029;erasmes_nord;BFa;2019;16/04/2019;;;;;;;;;;1;;1,5;2;;;;;;;;;;;1;1;;;;;;1;;;;;;2;;;;;;;;;;5;;1;1,5;1;;;
IPA030a;IPA030;campus;BFa;2019;10/05/2019;;;;;;;;;;1;;;;;;;;1,5;;;;;;2;1;;;;;;2;;;;;;2;0,5;1;;;1;1;1;;1;5;;;1;1;;;
IPA030b;IPA030;campus;BFa;2019;10/05/2019;;;;;;;;;;2;;1;2;;;;;3;;;;;;;;;;;;;1;;;;;;2;1;;;;1;1;;;;3;;;1;1;0,5;;
IPA031a;IPA031;rue_faubourg_raines;BFr;2019;;;;;;;;;;;2;;2;;;;;;1,5;;;;;1,5;;;;;;;;2,5;;;;;;3;;;;;;;1;;1;3,5;;0,5;1;;;;
IPA031b;IPA031;rue_faubourg_raines;BFr;2019;;;;;;;;;;0,5;2;;1,5;;;;;;2;;;;;1,5;2;;;;;;;1;;;;;1;2;;;;;;;;;;3;;;1,5;0,5;;;
IPA035a;IPA035;parking_castel;BFa;2019;29/04/2019;;;;;;;;;;1;;1,5;0,5;;;;;;;;;;;1;;;;;;;1;;;;;;2,5;1;;;;1;0,5;;;1;1,5;;;2;;;;
IPA035b;IPA035;parking_castel;BFa;2019;29/04/2019;;;;;;;;;;1;;2;2;;;;;;;;;;;0,5;1;;;;1;;1;;;1;;;3;1;;;;;1,5;;;;2;;0,5;;;;;
IPA036a;IPA036;coulee_verte;BFa;2021;03/05/2021;;;1;;;0,5;;;;2,5;1;3;1;;1;;;;;;;;;2;1;;;;0,5;1;2;;;;0,5;1;3;;;;;1;;2;;;1;;0,5;2;;;;
